TRADING SYMBOL,SLAB
RBLBANK MAY FUT,0.5
IBULHSGFIN MAY FUT,0.5
M&MFIN MAY FUT,0.5
UJJIVAN MAY FUT,0.5
PEL MAY FUT,2.5
CENTURYTEX MAY FUT,1
ZEEL MAY FUT,0.5
LICHSGFIN MAY FUT,0.5
INDIGO MAY FUT,2.5
CUMMINSIND MAY FUT,1
UPL MAY FUT,1
GODREJPROP MAY FUT,1
CESC MAY FUT,1
RAMCOCEM MAY FUT,1
TATASTEEL MAY FUT,0.5
AMARAJABAT MAY FUT,1
GLENMARK MAY FUT,0.5
GRASIM MAY FUT,1
HDFCLIFE MAY FUT,1
SBILIFE MAY FUT,1
TATACHEM MAY FUT,0.5
GODREJCP MAY FUT,1
ASIANPAINT MAY FUT,2.5
LUPIN MAY FUT,1
LT MAY FUT,1
DABUR MAY FUT,0.5
MARICO MAY FUT,0.5
TCS MAY FUT,2.5
